IOF ID;First Name;Last Name;Country;WRS Position;WRS points;WRS events;Avg point
36464;Aurelia;Paris;FRA;1323;439;1;439.0
19947;Nikola;Kochova;CZE;1325;435;1;435.0
32497;Sofie Skyttersaeter;Iversen;NOR;1325;435;1;435.0
21756;Louise;Adams;GBR;1327;434;1;434.0
27420;Rahel;Zuercher;SUI;1327;434;1;434.0
28448;Barbara;Pavlinic;SLO;1329;431;2;215.5
19872;Katalin;Rusvai;HUN;1330;430;1;430.0
34865;Silu;Yang;CHN;1331;429;1;429.0
6715;Judita;Volungeviciene;LTU;1332;427;3;142.3
22443;Lena;Imhof;SUI;1332;427;1;427.0
33492;Satu;Rautiainen;FIN;1332;427;1;427.0
28183;Marjut;Kiuttu;FIN;1335;419;1;419.0
5462;Liudmila;Skinder;BLR;1336;416;3;138.7
28973;Kristyna;Hlubuckova;CZE;1337;413;1;413.0
21853;Winnie;Oakhill;AUS;1338;411;1;411.0
19880;Alice;Tilley;NZL;1339;409;1;409.0
28323;Pernille Ibsen;Lervag;NOR;1340;408;1;408.0
5585;Iva;Stambuk;CRO;1341;405;1;405.0
34434;Nelli;Rehn;FIN;1342;404;1;404.0
2389;Marie;Hammer Haversen;NOR;1343;403;2;201.5
2601;Jenny;Johnson;GBR;1344;400;1;400.0
28046;Roxane;Florent;FRA;1344;400;1;400.0
3946;Chieko;Miyamoto;JPN;1346;398;2;199.0
5801;Albertina;Sa;POR;1346;398;3;132.7
23925;Yiching;Huang;TPE;1346;398;5;79.6
1202;Petra;Dittrichova;CZE;1349;396;1;396.0
19940;Monika;Pekarkova;CZE;1349;396;1;396.0
4376;Maria;Pabich;POL;1351;395;1;395.0
4244;Rebecka;Nylin;SWE;1352;394;1;394.0
5982;Monika;Rollier;CZE;1352;394;3;131.3
408;Ingrid;Berge;NOR;1354;393;1;393.0
28182;Riikka;Karppinen;FIN;1355;389;1;389.0
33957;Lucie;Roskotova;CZE;1355;389;1;389.0
6127;Jana;Valesova;CZE;1357;388;1;388.0
20010;Yoon sun;Cha;KOR;1357;388;4;97.0
20214;Sofia;Berenguer Sanchis;ESP;1357;388;1;388.0
28508;Adela Maria;Galateanu;ROU;1357;388;1;388.0
19875;Greti;Pentek;HUN;1361;387;1;387.0
22794;Martina;Papugova;SVK;1362;384;1;384.0
33014;Minna;Miettinen;FIN;1363;381;2;190.5
4046;Lene Therese;Myrland;NOR;1364;378;3;126.0
